f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,label,weight,timestamp,symbol,timeframe,regime,trade_type,profit_pips,duration_bars,notes
0.5795071969694784,0.5563401182204549,0.5646786882557654,0.6147236110452534,0.4746545024084712,0.5712891331381893,0.7871383929114174,0.7341357091655801,0.7973171978390319,0.7847230852069164,0.9041846,0.883327,0.246495858768871,0.7306778600906944,0.0,0.706624,0.040029740459137125,0.37806612401045947,0.37806611073391083,1.0,0.0,0.0,0.95652175,0.6666667,0.93096775,0.48398975,0.5000000000000001,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-1.0,2.0,2022-01-28T22:00:00,EURUSD,H1,2,SELL,-21.17635089263548,33,"hit_tp=False,hit_sl=True,regime=2"
0.5769485670521934,0.5458588635485647,0.5479560195649951,0.5842792604243083,0.411914054730269,0.3567755495058036,0.37038430987143117,0.5485331210985449,0.16093410965604657,0.31155139912598634,0.21976787,0.34718233,0.4141203515987829,0.18872812195590913,0.0,0.19482914,0.005857312401252765,0.7012187457717234,0.7012187477771082,0.0,1.0,0.0,0.08695652,0.0,0.22986756,0.4967609,1.0,0.3333333333333333,0.6666667142857141,0.6666666777777784,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,-1.0,1.6900000000000002,2020-03-30T02:00:00,EURUSD,H1,3,BUY,-7.463779608757326,6,"hit_tp=False,hit_sl=True,regime=3"
0.578478225222538,0.5469798036806851,0.547723067624935,0.5894006637155772,0.35912202867328397,0.3787308197112691,0.4810268635230323,0.5808253287854245,0.6539299892357994,0.5397857506214978,0.61914873,0.44831637,0.10793293603455878,0.2981675406639766,0.0,0.6526815,0.040514415438475296,0.7049708898576537,0.7049708918378548,1.0,0.0,0.0,0.7826087,1.0,0.7058707,0.5428573,0.5000000000000001,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-1.0,2.0,2022-12-11T18:00:00,EURUSD,H1,1,BUY,-17.474335317370084,50,"hit_tp=False,hit_sl=True,regime=1"
0.5720890348404978,0.5501643331270212,0.5675884106170016,0.5979538599297073,0.22332213753455715,0.24292202347857667,0.35388556055542997,0.5325533797956793,0.7664626459877587,0.5268879499350985,0.6867366,0.6058638,0.00256689519307415,0.33582813221303254,0.0,0.7131716,0.18370330114773967,0.5633312931669318,0.5633313095215675,0.0,0.0,1.0,0.5217391,0.5,0.72833973,0.53339094,0.08333333333333331,1.0,0.1666666904761904,0.916666644444443,0.1666666666666668,0.8333333333333331,0.16666666666666663,0.1666666666666668,-1.0,2.0,2021-07-08T12:00:00,EURUSD,H1,4,SELL,-47.795513958520665,31,"hit_tp=False,hit_sl=True,regime=4"
0.5798748461748376,0.5441865666476454,0.5481004494453505,0.5849345812811708,0.44296435851559035,0.36405047213681413,0.5005940303925795,0.5158226814006421,0.30059701803582106,0.2999460955465363,0.28471684,0.2592836,0.5663678488561328,0.13431083756119766,0.0,0.41595247,0.006243007568521482,0.5097819691042483,0.5097819992420674,1.0,0.0,0.0,0.82608694,0.8333333,0.25066003,0.44648924,1.0,0.5000000000000001,1.0,0.5,1.0,0.0,1.0,1.0,1.0,2.0,2020-08-15T19:00:00,EURUSD,H1,2,SELL,18.23365774120456,9,"hit_tp=True,hit_sl=False,regime=2"
0.5753908656267614,0.5465884300812008,0.551377690892932,0.5946379013602515,0.35092049789240615,0.5189965785971157,0.49854177110402753,0.7273920912749953,0.5489978329398699,0.4396866283042013,0.6093671,0.6155547,0.1632293969565748,0.27840314285087303,0.0,0.5388599,0.03864864713525818,0.5725690728461562,0.5725690622912564,1.0,0.0,0.0,0.9130435,0.6666667,0.7230278,0.35683376,0.5000000000000001,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-1.0,2.0,2022-03-11T21:00:00,EURUSD,H1,1,BUY,-18.025585198826462,46,"hit_tp=False,hit_sl=True,regime=1"
0.5779368102098945,0.551417680861032,0.5453949368706155,0.5906354631486057,0.26514392104172446,0.34664011934801275,0.45146916789568603,0.615047457957392,0.6855731411343885,0.5351784866096618,0.63809144,0.43238735,0.2386669157123662,0.25143979083962825,0.0,0.522949,0.03563927693570121,0.6273780764428597,0.6273780990795041,1.0,0.0,0.0,0.3478261,0.0,0.70819193,0.389708,0.5000000000000001,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-1.0,1.6900000000000002,2022-03-14T08:00:00,EURUSD,H1,1,BUY,-17.392172450402256,12,"hit_tp=False,hit_sl=True,regime=1"
0.5802084278015507,0.5557644624299432,0.56005047992482,0.6040819201990836,0.5728177396565042,0.6457191880746382,0.5470434454563432,0.8178437708899821,0.7724023463441407,0.7160599374684541,0.83213,0.71317387,0.29852126206500246,0.23004628737962338,0.0,0.733027,0.031383874431093625,0.7302633734256716,0.7302634155074115,1.0,0.0,0.0,0.04347826,0.5,0.734248,0.5424944,0.5000000000000001,1.0,1.0,0.5,1.0,0.0,1.0,1.0,-1.0,1.6900000000000002,2021-03-11T01:00:00,EURUSD,H1,2,SELL,-18.929847696111946,3,"hit_tp=False,hit_sl=True,regime=2"
0.5758362919496289,0.5425328812127783,0.5423476337758044,0.5811324440322786,0.7748975105083262,0.5809061353097845,0.6227776853408677,0.6037721016883644,0.18151749089104946,0.21805212152102582,0.048573215,0.23911522,0.29150772679094306,0.23255310675128005,0.0,0.23299743,0.004040292162631605,0.6651895914718973,0.6651895601596898,0.0,1.0,0.0,0.26086956,0.5,0.101680376,0.41477343,1.0,0.3333333333333333,0.6666667142857141,0.6666666777777784,0.6666666666666667,0.3333333333333333,0.6666666666666667,0.6666666666666667,1.0,2.0,2020-07-16T06:00:00,EURUSD,H1,3,BUY,10.4291654925337,14,"hit_tp=True,hit_sl=False,regime=3"
0.5698118241572862,0.5290058273319619,0.5388698338807206,0.568394553362243,0.3564329263791994,0.45628483221439553,0.38449018643785793,0.6101841761262289,0.23252618395157104,0.4070179711260141,0.29397756,0.47784093,0.3424698403700646,0.7649815035077057,0.0,0.2464975,0.03908010679215934,0.6406701759032236,0.6406701514674707,0.0,0.0,1.0,0.47826087,1.0,0.24374932,0.5494842,1.0,0.08333333333333331,0.1666666904761904,0.916666644444443,0.1666666666666668,0.8333333333333331,0.16666666666666663,0.1666666666666668,1.0,2.0,2020-07-12T11:00:00,EURUSD,H1,4,BUY,67.77289187926971,9,"hit_tp=True,hit_sl=False,regime=4"
