timestamp,open,high,low,close,volume
1577836800000,1.12076,1.12076,1.12076,1.12076,0.0
1577840400000,1.12076,1.12076,1.12076,1.12076,0.0
1577844000000,1.12076,1.12076,1.12076,1.12076,0.0
1577847600000,1.12076,1.12076,1.12076,1.12076,0.0
1577851200000,1.12076,1.12076,1.12076,1.12076,0.0
1577854800000,1.12076,1.12076,1.12076,1.12076,0.0
1577858400000,1.12076,1.12076,1.12076,1.12076,0.0
1577862000000,1.12076,1.12076,1.12076,1.12076,0.0
1577865600000,1.12076,1.12076,1.12076,1.12076,0.0
1577869200000,1.12076,1.12076,1.12076,1.12076,0.0
1577872800000,1.12076,1.12076,1.12076,1.12076,0.0
1577876400000,1.12076,1.12076,1.12076,1.12076,0.0
1577880000000,1.12076,1.12076,1.12076,1.12076,0.0
1577883600000,1.12076,1.12076,1.12076,1.12076,0.0
1577887200000,1.12076,1.12076,1.12076,1.12076,0.0
1577890800000,1.12076,1.12076,1.12076,1.12076,0.0
1577894400000,1.12076,1.12076,1.12076,1.12076,0.0
1577898000000,1.12076,1.12076,1.12076,1.12076,0.0
1577901600000,1.12076,1.12076,1.12076,1.12076,0.0
1577905200000,1.12076,1.12076,1.12076,1.12076,0.0
1577908800000,1.12076,1.12076,1.12076,1.12076,0.0
1577912400000,1.12076,1.12076,1.12076,1.12076,0.0
1577916000000,1.12076,1.12076,1.12076,1.12076,0.0
1577919600000,1.12143,1.12218,1.12142,1.12188,1401.66
1577923200000,1.12188,1.1219,1.12157,1.12183,1789.91
1577926800000,1.12182,1.12244,1.1218,1.12209,3132.76
1577930400000,1.1221,1.12245,1.12184,1.12222,2118.97
1577934000000,1.12224,1.12231,1.12124,1.12132,2550.6499
1577937600000,1.12132,1.12143,1.12008,1.12012,2658.7
1577941200000,1.12011,1.12044,1.12009,1.12043,3424.3999
1577944800000,1.12044,1.12077,1.12036,1.12077,3330.3601
1577948400000,1.12078,1.12102,1.12043,1.12098,6752.8501
1577952000000,1.12099,1.12137,1.12051,1.1212,7196.8901
1577955600000,1.12119,1.12141,1.12011,1.1203,6928.9902
1577959200000,1.1203,1.12039,1.11927,1.11982,7231.79
1577962800000,1.11984,1.12021,1.11842,1.11848,8868.1396
1577966400000,1.11847,1.11943,1.11829,1.1193,7013.3198
