f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,label,weight,timestamp,symbol,timeframe,regime,trade_type,profit_pips,duration_bars,notes
0.4086810127892565,0.42203023398005346,0.485917699167401,0.4608399275547004,0.3276883078614023,0.36471942462383244,0.46872082329273895,0.4144158130709098,0.36480386101129764,0.4300706277049261,0.28914335,0.3916171642890288,0.27848584549578614,0.22527211328681315,0.5,0.62553626,0.01789847479818125,0.9742807393621564,0.9742807762873709,1.0,0.0,0.0,0.08695652,0.6666667,0.37126824,0.4671505760179587,1.0,0.41666666666666663,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.95,2020-06-19T02:00:00,EURUSD,H1,1,BUY,18.26120667258513,18,"hit_tp=True,hit_sl=False,regime=1"
0.4133236198238927,0.4066254717697876,0.46742835313886133,0.45248931258538166,0.22745427468486096,0.3484310639913401,0.4590363695110332,0.3846199160911179,0.38723489847910264,0.3352709607745428,0.0,0.08068065451055628,0.32395940392564876,0.21107429026242086,0.5,0.40775627,0.014238634904179407,0.8638117247555853,0.8638116653986938,1.0,0.0,0.0,0.0,1.0,0.2899126,0.41173687884442844,1.0,0.41666666666666663,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2020-02-16T00:00:00,EURUSD,H1,1,BUY,19.818388413281877,27,"hit_tp=True,hit_sl=False,regime=1"
0.41497569919850674,0.41777635350754916,0.47797241877645746,0.49168660076423665,0.12388146303000168,0.14738676804529166,0.36497319776022163,0.3455833524322493,0.7429491667015353,0.6590305892064577,0.7176536,0.596030729175741,0.17877420531081925,0.25640420782509465,0.5,0.72111565,0.05322770014866721,0.82204615203868,0.8220461786179513,1.0,0.0,0.0,0.8695652,0.6666667,0.74457455,0.6583024981066818,0.41666666666666663,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.95,2020-01-17T20:00:00,EURUSD,H1,2,SELL,16.844225026073634,19,"hit_tp=True,hit_sl=False,regime=2"
0.4240895754539509,0.41647920138304945,0.4695555869166722,0.4665988824111675,0.5577621036088161,0.6717641202505779,0.5987496547169231,0.4642949177756554,0.42561652962810037,0.4567562315322613,0.23144048,0.3053241213701086,0.6427796872368082,0.1115317852095741,0.5,0.5186977,0.019469285297837997,0.9920882888870212,0.9920881913533285,1.0,0.0,0.0,0.47826087,0.8333333,0.3006675,0.5116139795565869,1.0,0.41666666666666663,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2020-10-31T11:00:00,EURUSD,H1,1,BUY,24.435328805751944,39,"hit_tp=True,hit_sl=False,regime=1"
0.41324294744378426,0.42160254022464205,0.47120608645116213,0.46586448415809295,0.08183722394064756,0.24203027384121384,0.403191082067755,0.40969746006204116,0.4816226326551847,0.4647380169467948,0.15289834,0.07320625386082477,0.36577587836014713,0.198018310911105,0.5,0.46393853,0.01174892195479371,0.952071774242649,0.9520717748275547,0.0,1.0,0.0,0.6086956,0.5,0.36734796,0.5341656330726224,1.0,0.3333333333333333,0.8000001028571486,0.1999999519999923,0.8000000000000003,0.20000000000000007,0.7999999999999998,0.8000000000000003,-1.0,1.3,2020-03-12T14:00:00,EURUSD,H1,3,BUY,-6.533761558713547,4,"hit_tp=False,hit_sl=True,regime=3"
0.42372731378602185,0.41072360556658394,0.47426234848809407,0.4483797143146162,0.30491257134025906,0.27051843822953753,0.3565576759472936,0.362382927453122,0.32828859032424507,0.3450611466688846,0.22661844,0.2724030271382678,0.3320436352576715,0.8108534190805581,0.5,0.3304217,0.025535781768724074,0.9560389305001881,0.9560388089988727,1.0,0.0,0.0,0.39130434,1.0,0.22553363,0.554918678874267,1.0,0.41666666666666663,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.95,2020-09-13T09:00:00,EURUSD,H1,1,BUY,18.21983666210114,17,"hit_tp=True,hit_sl=False,regime=1"
0.4832664908935119,0.5481982480986449,0.613270672452182,0.5618311000812753,0.40687643617076635,0.5222668046884722,0.5340198395864232,0.36091470741877807,0.7048612753896539,0.5716162755610638,1.0,0.6761931004237116,0.10580332684013459,0.7402163558879653,0.5,0.66305155,0.4278037722111499,0.7209580373118151,0.7209581139398662,0.0,0.0,1.0,0.0,0.16666667,0.8720556,0.5204025039196984,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.56,2020-01-14T00:00:00,EURUSD,H1,5,SELL,-125.27408084771486,22,"hit_tp=False,hit_sl=True,regime=5"
0.4413767039750959,0.4691722928714453,0.4982176327774359,0.5268711045370437,0.04732388524281605,0.09030209646247882,0.32862905727723435,0.33712900051436917,0.7614149715279603,0.7581188242270539,0.7873139,0.8879053921223072,0.18485543945456756,0.7648981218764072,0.5,0.6041429,0.22568748192478305,0.8912168400850364,0.8912167193747956,0.0,0.0,1.0,0.8695652,0.33333334,0.75995797,0.42870017531496313,0.08333333333333331,1.0,0.2000000400000022,0.7999999279999885,0.20000000000000018,0.7999999999999999,0.1999999999999999,0.20000000000000018,1.0,1.95,2020-05-06T20:00:00,EURUSD,H1,4,SELL,58.37240781380704,18,"hit_tp=True,hit_sl=False,regime=4"
0.4649834967515315,0.4813817832910215,0.5161420179681329,0.5348952196402701,0.547682714802905,0.49316667457931396,0.44791581389598356,0.35859140528930916,0.8365866089072873,0.6341193349190611,0.87451226,0.6888940543689835,0.4465804516391434,0.8466142440806427,0.5,0.7653493,0.4787815432747257,0.5067902751829318,0.5067903056095165,0.0,0.0,1.0,0.6086956,0.8333333,0.83341473,0.5260334052032934,0.08333333333333331,1.0,0.2000000400000022,0.7999999279999885,0.20000000000000018,0.7999999999999999,0.1999999999999999,0.20000000000000018,-1.0,1.3,2020-03-07T14:00:00,EURUSD,H1,4,SELL,-39.39042547673744,14,"hit_tp=False,hit_sl=True,regime=4"
0.40621070575052787,0.39009144278487085,0.40841943233072914,0.3926951876481884,0.31940511047815623,0.32033639739428366,0.41022253005973563,0.3702737018545793,0.2174487818152372,0.2916371204074156,0.14440663,0.1306144427594998,0.32704728854916265,0.21011018098038667,0.5,0.12422442,0.023078617145423145,0.41017523665175165,0.4101753170725279,0.0,0.0,1.0,0.26086956,0.33333334,0.14434616,0.5234708983471097,1.0,0.08333333333333331,0.2000000400000022,0.7999999279999885,0.20000000000000018,0.7999999999999999,0.1999999999999999,0.20000000000000018,-1.0,1.3,2020-02-19T06:00:00,EURUSD,H1,4,BUY,-42.2712950292059,15,"hit_tp=False,hit_sl=True,regime=4"
0.41694804062777063,0.41975082350451376,0.4830985275002669,0.46361539650459965,0.1848850625990768,0.3403291861071999,0.38266492810988023,0.38179224526955835,0.417886466767223,0.3494930795489792,0.0,0.27689558358217325,0.1224375737630494,0.2739937254673816,0.5,0.45654795,0.009499144863219693,0.8865777314511409,0.8865778182617863,0.0,1.0,0.0,0.17391305,1.0,0.31530753,0.5399072814416331,1.0,0.3333333333333333,0.8000001028571486,0.1999999519999923,0.8000000000000003,0.20000000000000007,0.7999999999999998,0.8000000000000003,1.0,1.95,2020-05-24T04:00:00,EURUSD,H1,3,BUY,8.286122090617187,14,"hit_tp=True,hit_sl=False,regime=3"
