timestamp,open,high,low,close,volume
1672531200000,1.07026,1.07026,1.07026,1.07026,0
1672532100000,1.07026,1.07026,1.07026,1.07026,0
1672533000000,1.07026,1.07026,1.07026,1.07026,0
1672533900000,1.07026,1.07026,1.07026,1.07026,0
1672534800000,1.07026,1.07026,1.07026,1.07026,0
1672535700000,1.07026,1.07026,1.07026,1.07026,0
1672536600000,1.07026,1.07026,1.07026,1.07026,0
1672537500000,1.07026,1.07026,1.07026,1.07026,0
1672538400000,1.07026,1.07026,1.07026,1.07026,0
1672539300000,1.07026,1.07026,1.07026,1.07026,0
1672540200000,1.07026,1.07026,1.07026,1.07026,0
1672541100000,1.07026,1.07026,1.07026,1.07026,0
1672542000000,1.07026,1.07026,1.07026,1.07026,0
1672542900000,1.07026,1.07026,1.07026,1.07026,0
1672543800000,1.07026,1.07026,1.07026,1.07026,0
1672544700000,1.07026,1.07026,1.07026,1.07026,0
1672545600000,1.07026,1.07026,1.07026,1.07026,0
1672546500000,1.07026,1.07026,1.07026,1.07026,0
1672547400000,1.07026,1.07026,1.07026,1.07026,0
1672548300000,1.07026,1.07026,1.07026,1.07026,0
1672549200000,1.07026,1.07026,1.07026,1.07026,0
1672550100000,1.07026,1.07026,1.07026,1.07026,0
1672551000000,1.07026,1.07026,1.07026,1.07026,0
1672551900000,1.07026,1.07026,1.07026,1.07026,0
1672552800000,1.07026,1.07026,1.07026,1.07026,0
1672553700000,1.07026,1.07026,1.07026,1.07026,0
1672554600000,1.07026,1.07026,1.07026,1.07026,0
1672555500000,1.07026,1.07026,1.07026,1.07026,0
1672556400000,1.07026,1.07026,1.07026,1.07026,0
1672557300000,1.07026,1.07026,1.07026,1.07026,0
1672558200000,1.07026,1.07026,1.07026,1.07026,0
1672559100000,1.07026,1.07026,1.07026,1.07026,0
1672560000000,1.07026,1.07026,1.07026,1.07026,0
1672560900000,1.07026,1.07026,1.07026,1.07026,0
1672561800000,1.07026,1.07026,1.07026,1.07026,0
1672562700000,1.07026,1.07026,1.07026,1.07026,0
1672563600000,1.07026,1.07026,1.07026,1.07026,0
1672564500000,1.07026,1.07026,1.07026,1.07026,0
1672565400000,1.07026,1.07026,1.07026,1.07026,0
1672566300000,1.07026,1.07026,1.07026,1.07026,0
1672567200000,1.07026,1.07026,1.07026,1.07026,0
1672568100000,1.07026,1.07026,1.07026,1.07026,0
1672569000000,1.07026,1.07026,1.07026,1.07026,0
1672569900000,1.07026,1.07026,1.07026,1.07026,0
1672570800000,1.07026,1.07026,1.07026,1.07026,0
1672571700000,1.07026,1.07026,1.07026,1.07026,0
1672572600000,1.07026,1.07026,1.07026,1.07026,0
1672573500000,1.07026,1.07026,1.07026,1.07026,0
1672574400000,1.07026,1.07026,1.07026,1.07026,0
1672575300000,1.07026,1.07026,1.07026,1.07026,0
1672576200000,1.07026,1.07026,1.07026,1.07026,0
1672577100000,1.07026,1.07026,1.07026,1.07026,0
1672578000000,1.07026,1.07026,1.07026,1.07026,0
1672578900000,1.07026,1.07026,1.07026,1.07026,0
1672579800000,1.07026,1.07026,1.07026,1.07026,0
1672580700000,1.07026,1.07026,1.07026,1.07026,0
1672581600000,1.07026,1.07026,1.07026,1.07026,0
1672582500000,1.07026,1.07026,1.07026,1.07026,0
1672583400000,1.07026,1.07026,1.07026,1.07026,0
1672584300000,1.07026,1.07026,1.07026,1.07026,0
1672585200000,1.07026,1.07026,1.07026,1.07026,0
1672586100000,1.07026,1.07026,1.07026,1.07026,0
1672587000000,1.07026,1.07026,1.07026,1.07026,0
1672587900000,1.07026,1.07026,1.07026,1.07026,0
1672588800000,1.07026,1.07026,1.07026,1.07026,0
1672589700000,1.07026,1.07026,1.07026,1.07026,0
1672590600000,1.07026,1.07026,1.07026,1.07026,0
1672591500000,1.07026,1.07026,1.07026,1.07026,0
1672592400000,1.07026,1.07026,1.07026,1.07026,0
1672593300000,1.07026,1.07026,1.07026,1.07026,0
1672594200000,1.07026,1.07026,1.07026,1.07026,0
1672595100000,1.07026,1.07026,1.07026,1.07026,0
1672596000000,1.07026,1.07026,1.07026,1.07026,0
1672596900000,1.07026,1.07026,1.07026,1.07026,0
1672597800000,1.07026,1.07026,1.07026,1.07026,0
1672598700000,1.07026,1.07026,1.07026,1.07026,0
1672599600000,1.07026,1.07026,1.07026,1.07026,0
1672600500000,1.07026,1.07026,1.07026,1.07026,0
1672601400000,1.07026,1.07026,1.07026,1.07026,0
1672602300000,1.07026,1.07026,1.07026,1.07026,0
1672603200000,1.07026,1.07026,1.07026,1.07026,0
1672604100000,1.07026,1.07026,1.07026,1.07026,0
1672605000000,1.07026,1.07026,1.07026,1.07026,0
1672605900000,1.07026,1.07026,1.07026,1.07026,0
1672606800000,1.07026,1.07026,1.07026,1.07026,0
1672607700000,1.07026,1.07026,1.07026,1.07026,0
1672608600000,1.07026,1.07026,1.07026,1.07026,0
1672609500000,1.07026,1.07026,1.07026,1.07026,0
1672610400000,1.07026,1.07066,1.06899,1.06899,35.54
1672611300000,1.06788,1.06788,1.06788,1.06788,6.3
1672612200000,1.06788,1.06958,1.06788,1.06956,99.36
1672613100000,1.06962,1.07061,1.06823,1.06929,2336.22
1672614000000,1.06896,1.0704,1.06829,1.06895,379.32
1672614900000,1.06933,1.07047,1.06849,1.0695,909.72
1672615800000,1.0695,1.06997,1.06923,1.06944,2700
1672616700000,1.06947,1.07012,1.06942,1.07005,943.92
1672617600000,1.07007,1.07034,1.06994,1.07,521.64
1672618500000,1.07006,1.07007,1.06948,1.06977,772.22
1672619400000,1.06975,1.07018,1.06912,1.06949,1190.79
1672620300000,1.06949,1.07058,1.06942,1.0704,1037.48
1672621200000,1.07041,1.07087,1.07028,1.07038,80.17
1672622100000,1.07045,1.07047,1.07026,1.07029,75.32
1672623000000,1.07029,1.07046,1.07013,1.07013,116.23
1672623900000,1.07012,1.07035,1.06919,1.06977,160.56
1672624800000,1.06977,1.06977,1.06862,1.06877,358.46
1672625700000,1.06877,1.06917,1.06877,1.06909,282.22
1672626600000,1.06909,1.06915,1.06888,1.06902,460.44
1672627500000,1.06909,1.06925,1.0688,1.06904,480.18
1672628400000,1.06904,1.06905,1.06892,1.06896,821.96
1672629300000,1.06895,1.06904,1.06889,1.06904,604.44
1672630200000,1.06896,1.07027,1.06893,1.06901,704.96
1672631100000,1.06902,1.06908,1.06886,1.06899,584.74
1672632000000,1.06896,1.0702,1.06887,1.06997,1721.19
1672632900000,1.07005,1.07008,1.06991,1.07002,600.18
1672633800000,1.06996,1.07004,1.06986,1.06992,1409.36
1672634700000,1.06991,1.07,1.06989,1.06993,1767.14
1672635600000,1.06994,1.06997,1.06882,1.06946,775.8
1672636500000,1.06947,1.06966,1.06915,1.06921,502.94
1672637400000,1.06921,1.06968,1.06918,1.06949,419.68
1672638300000,1.0695,1.06996,1.06872,1.06938,1181.59
1672639200000,1.06943,1.06996,1.06923,1.06941,919.73
1672640100000,1.06941,1.06953,1.0693,1.06934,526.18
1672641000000,1.06931,1.06974,1.06921,1.06936,1320.34
1672641900000,1.06939,1.06944,1.06741,1.06894,636.62
1672642800000,1.06891,1.06922,1.06822,1.06831,813.92
1672643700000,1.0683,1.06849,1.06694,1.06794,519.64
1672644600000,1.06786,1.0684,1.06778,1.06801,3806.26
1672645500000,1.068,1.06827,1.06632,1.06786,4859.95
1672646400000,1.06794,1.068,1.06712,1.06751,3889.84
1672647300000,1.06751,1.06766,1.06726,1.06758,2502.88
1672648200000,1.06758,1.06875,1.06748,1.068,3092.9
1672649100000,1.06799,1.06971,1.06783,1.0679,2667.45
1672650000000,1.06791,1.06994,1.06788,1.06863,1913.79
1672650900000,1.06863,1.06864,1.068,1.06834,2866.79
1672651800000,1.06834,1.06843,1.06815,1.06824,2568.7
1672652700000,1.06822,1.06834,1.06766,1.06786,4309.15
1672653600000,1.06786,1.06865,1.06777,1.06844,1692.39
1672654500000,1.06844,1.06896,1.06818,1.06818,1012.93
1672655400000,1.06819,1.06868,1.06743,1.06771,1653.82
1672656300000,1.06771,1.06833,1.06758,1.06833,660.69
1672657200000,1.06833,1.06855,1.06804,1.06846,1144.32
1672658100000,1.06846,1.06847,1.0681,1.06819,607.97
1672659000000,1.06819,1.06855,1.06816,1.06846,688.99
1672659900000,1.06847,1.06864,1.068,1.06842,758.56
1672660800000,1.06841,1.06867,1.06763,1.0686,270.15
1672661700000,1.06862,1.06865,1.06784,1.0684,1826.57
1672662600000,1.06849,1.0687,1.06786,1.06836,1071.37
1672663500000,1.06836,1.06861,1.06794,1.06822,897.55
1672664400000,1.06822,1.06848,1.06786,1.06823,1198.18
1672665300000,1.06823,1.06863,1.06794,1.06838,1522.01
1672666200000,1.06838,1.0685,1.0682,1.06836,644.58
1672667100000,1.06837,1.06838,1.0677,1.06784,1337.76
1672668000000,1.06783,1.06818,1.06781,1.0681,781.94
1672668900000,1.0681,1.06819,1.06796,1.06807,683.81
1672669800000,1.06816,1.06817,1.06794,1.06804,500.07
1672670700000,1.06801,1.06801,1.06702,1.06722,2380.75
1672671600000,1.06723,1.06739,1.06699,1.06726,929.76
1672672500000,1.06726,1.06728,1.06648,1.06662,1245.3
1672673400000,1.06662,1.06685,1.06652,1.0666,1060.93
1672674300000,1.0666,1.06677,1.0658,1.066,1624.67
1672675200000,1.06598,1.06705,1.0659,1.06686,3176.78
1672676100000,1.06687,1.06687,1.0653,1.06538,2749.5799
1672677000000,1.06537,1.06555,1.06523,1.06537,1657.04
1672677900000,1.06536,1.06579,1.0651,1.06545,1835.74
1672678800000,1.06545,1.06619,1.06539,1.06594,1892.41
1672679700000,1.06596,1.06611,1.0658,1.06591,1390.69
1672680600000,1.06597,1.06609,1.06586,1.066,1044.52
1672681500000,1.06601,1.06608,1.06584,1.06599,1677.87
1672682400000,1.06601,1.06606,1.06557,1.06563,2298.16
1672683300000,1.06563,1.0657,1.06508,1.06508,2100.63
1672684200000,1.0651,1.06541,1.06509,1.06525,1609.66
1672685100000,1.06522,1.06532,1.06519,1.06519,271.45
1672686000000,1.0652,1.06529,1.0651,1.06517,635.87
1672686900000,1.06522,1.06537,1.06499,1.06527,499.5
1672687800000,1.06526,1.06532,1.06514,1.06532,133.34
1672688700000,1.06532,1.06586,1.0652,1.06561,223.03
1672689600000,1.0656,1.06627,1.06546,1.06589,1840.79
1672690500000,1.06583,1.0662,1.06577,1.06606,234.06
1672691400000,1.06606,1.06697,1.06605,1.06619,2013.72
1672692300000,1.06625,1.06677,1.06609,1.0663,4653.22
1672693200000,1.0663,1.06725,1.06625,1.06668,1548.67
1672694100000,1.06669,1.06691,1.06646,1.06646,622.68
1672695000000,1.06646,1.06657,1.06626,1.06628,784.36
1672695900000,1.06636,1.06666,1.06593,1.06646,945.46
1672696800000,1.06646,1.06651,1.06645,1.06651,56.13
1672697700000,1.06651,1.06653,1.06648,1.06652,21.14
1672698600000,1.06652,1.06652,1.06636,1.0664,166.39
1672699500000,1.06636,1.06646,1.06627,1.06634,437.94
1672700400000,1.06652,1.06833,1.06627,1.06636,3915.16
1672701300000,1.06637,1.06668,1.06499,1.06639,6229.67
1672702200000,1.06638,1.06742,1.06635,1.06706,3128.9499
1672703100000,1.06705,1.06773,1.06687,1.06765,2782.55
1672704000000,1.06764,1.06783,1.06718,1.06757,3348.55
1672704900000,1.06758,1.06758,1.06666,1.06685,3873.66
1672705800000,1.06684,1.06749,1.06678,1.06735,2678.3
1672706700000,1.06734,1.06744,1.06699,1.06704,2430.97
1672707600000,1.06703,1.06708,1.06595,1.06688,5161.7
1672708500000,1.06687,1.06741,1.06549,1.0656,5240.2501
1672709400000,1.0656,1.06597,1.06508,1.06523,7438.14
1672710300000,1.06523,1.06598,1.06503,1.06597,3976.97
1672711200000,1.06597,1.06631,1.06575,1.06612,2766.84
1672712100000,1.06611,1.06675,1.06596,1.06661,2728.04
1672713000000,1.06661,1.06733,1.06658,1.0673,3678.16
1672713900000,1.06734,1.06776,1.06718,1.06763,3835.46
1672714800000,1.06763,1.06783,1.06727,1.06728,2864.75
1672715700000,1.06729,1.06758,1.06688,1.06717,2739.55
1672716600000,1.06722,1.06758,1.06716,1.06753,1749.86
1672717500000,1.06754,1.06764,1.06708,1.06722,2125.41
1672718400000,1.06722,1.06792,1.06707,1.06776,1376.02
1672719300000,1.06777,1.068,1.06753,1.0678,1248.53
1672720200000,1.0678,1.06801,1.06768,1.06775,1478.79
1672721100000,1.06776,1.06779,1.06669,1.06672,1295.87
1672722000000,1.06673,1.06706,1.06668,1.06675,3184.37
1672722900000,1.06676,1.06695,1.06596,1.06634,3421.54
1672723800000,1.06634,1.06649,1.06589,1.06648,3435.37
1672724700000,1.06647,1.06658,1.06607,1.06634,3390.52
1672725600000,1.06633,1.06676,1.06623,1.06674,2919.71
1672726500000,1.06674,1.06676,1.06602,1.06629,2957.69
1672727400000,1.06626,1.0663,1.06539,1.06563,4621.83
1672728300000,1.06563,1.06582,1.06513,1.06521,2734.92
1672729200000,1.06525,1.06571,1.06498,1.0652,4463.9399
1672730100000,1.0652,1.0657,1.06518,1.06567,3513.91
1672731000000,1.06567,1.06585,1.06539,1.06541,4377.5
1672731900000,1.06541,1.06552,1.06199,1.06236,10352.2
1672732800000,1.06237,1.06282,1.0586,1.05878,11836.6499
1672733700000,1.05879,1.05896,1.05696,1.05761,13585.4901
1672734600000,1.0576,1.05797,1.05569,1.0568,10781.44
1672735500000,1.0568,1.05711,1.05506,1.05517,10468.6999
1672736400000,1.05518,1.05541,1.05339,1.05442,14758.7899
1672737300000,1.05442,1.05484,1.05382,1.05479,10656.23
1672738200000,1.0548,1.05609,1.0548,1.0554,10166.9699
1672739100000,1.0554,1.0558,1.05433,1.05473,8085.96
1672740000000,1.05474,1.05547,1.05439,1.055,7284.0699
1672740900000,1.05499,1.05517,1.0535,1.05375,8125.56
1672741800000,1.05374,1.05455,1.0533,1.05369,9170.0999
1672742700000,1.0537,1.05424,1.05252,1.05308,6763.46
1672743600000,1.05309,1.05327,1.05249,1.05272,5787.4401
1672744500000,1.05274,1.05293,1.05194,1.05263,5385.48
1672745400000,1.05265,1.05359,1.05253,1.05318,6075.81
1672746300000,1.05317,1.05352,1.05265,1.05282,5165.0901
1672747200000,1.05281,1.05333,1.05238,1.05329,5027.85
1672748100000,1.05328,1.054,1.05307,1.05397,5435.42
1672749000000,1.05398,1.05491,1.05387,1.05464,4964.31
1672749900000,1.05465,1.05466,1.05347,1.05355,5430.05
1672750800000,1.05354,1.05458,1.05303,1.05449,8793.5201
1672751700000,1.05448,1.05595,1.05435,1.05554,8723.17
1672752600000,1.05555,1.05673,1.05536,1.05666,9176.65
1672753500000,1.05666,1.05697,1.05568,1.056,6386.36
1672754400000,1.05599,1.05743,1.05554,1.05741,8073.9999
1672755300000,1.0574,1.0574,1.0561,1.05715,6510.4
1672756200000,1.05715,1.05973,1.05666,1.05905,13616.95
1672757100000,1.05906,1.05908,1.05739,1.05739,12052.9502
1672758000000,1.05742,1.05787,1.05643,1.057,9492.97
1672758900000,1.05703,1.05818,1.05659,1.05685,11643.61
1672759800000,1.05684,1.05725,1.05623,1.05646,11553.96
1672760700000,1.05649,1.05721,1.05544,1.05554,13520.46
1672761600000,1.05554,1.05566,1.05371,1.05441,10223.3999
1672762500000,1.05441,1.0555,1.054,1.05548,7615.7601
1672763400000,1.05549,1.05552,1.05399,1.05446,10352.35
1672764300000,1.05445,1.05586,1.05399,1.05579,7629.18
1672765200000,1.05579,1.05589,1.05536,1.0556,6718.4901
1672766100000,1.05561,1.05586,1.055,1.0552,5172.4
1672767000000,1.0552,1.05536,1.05452,1.0548,4820.25
1672767900000,1.05481,1.05489,1.05401,1.0546,3959.65
1672768800000,1.0546,1.05492,1.05432,1.05473,3674.61
1672769700000,1.05472,1.05565,1.0543,1.05562,4123.14
1672770600000,1.05562,1.05605,1.05534,1.056,3567.02
1672771500000,1.05599,1.05601,1.05546,1.05563,3771.9899
1672772400000,1.05564,1.05591,1.0555,1.05588,4924.43
1672773300000,1.05587,1.05618,1.05565,1.05614,4123.71
1672774200000,1.05613,1.05632,1.05583,1.05625,2805.05
1672775100000,1.05627,1.05681,1.05626,1.05662,5977.04
1672776000000,1.05664,1.05671,1.05605,1.05666,6238.19
1672776900000,1.05666,1.05688,1.05561,1.05611,3618.53
1672777800000,1.05612,1.05638,1.05547,1.05547,2995.56
1672778700000,1.05546,1.05573,1.05505,1.05514,3698.69
1672779600000,1.05514,1.05535,1.05493,1.05523,935.49
1672780500000,1.05524,1.05537,1.05475,1.05499,992.37
1672781400000,1.05498,1.05512,1.0546,1.05477,876.21
1672782300000,1.05477,1.05497,1.05464,1.05466,1179.57
1672783200000,1.05461,1.05469,1.0545,1.05469,56.98
1672784100000,1.05469,1.05474,1.05469,1.05469,221
1672785000000,1.05469,1.0548,1.05469,1.05472,6972.71
1672785900000,1.0547,1.05476,1.05468,1.05474,738.55
1672786800000,1.05474,1.05542,1.05466,1.05503,4333.3399
1672787700000,1.05507,1.05516,1.05403,1.05444,2171.13
1672788600000,1.05444,1.05471,1.0542,1.05429,2382.08
