score,outcome,rr
0.7065532808935504,1,9.159551050470254
0.3680764612538474,-1,-1.9338285019458459
0.19369982705576264,-1,-2.066519752771134
0.898141857136578,1,0.80826711766341
0.8432037828338629,1,5.524709913788194
0.840854130228888,1,2.6714572365679796
0.97905938052728,1,2.876009120944399
0.5780414429617413,1,2.8447112769660503
0.6295524516764506,1,2.342900666546724
0.779318575705184,1,0.263048641925414
0.397463825725183,1,3.3607218364930627
0.6582476741785909,1,5.778266749539698
0.6507156342629206,1,1.9720423140254502
0.7770936205018385,1,5.6858088692559114
0.05779223825916309,-1,-3.550672858301216
0.7067695320637392,-1,-0.6729709425898057
0.3605058467541251,1,6.174218370164087
0.29391187868672447,-1,-0.31401430187476864
0.6403977611461047,1,4.732184349584934
0.847838305089201,1,0.5248357635679447
0.5560827966409818,1,3.6943483383267193
0.3632132005313135,-1,-0.7942833105539029
0.23772804138025133,1,6.857897329799868
0.7469095839987847,1,1.9186989236981922
0.39904028217380744,-1,-0.3018811249434922
0.5341892120397617,1,1.8793677388461558
0.20111074810812832,-1,-0.37318457993834364
0.4724118214035744,1,2.6630661624080734
0.4930321229355901,-1,-0.6122904572558652
0.8220953220942157,1,6.346789198853014
0.9081547998982957,1,6.657154864722402
0.7985874487263988,1,2.5437578604779914
0.5655793904503646,-1,-1.4101236763576888
0.05290694005781977,-1,-0.5724640916160529
0.618967082465585,1,2.9455595542676276
0.4446148884493336,-1,-0.9012098216404947
0.48946661361620075,-1,-0.1991505759778732
0.038991175512781105,-1,-0.23860703419226137
0.493788012339319,-1,-1.126972783456897
0.8320369138726519,1,3.7802549048626437
0.33712867186694023,-1,-3.423217888979449
0.31829314068955433,-1,-1.5016709677728415
0.5825686468731947,1,3.653065830041622
0.592766588208368,1,1.5595356780847096
0.9153445976423802,1,1.0145180320159128
0.43046512771223583,-1,-1.296357012184867
0.35327734989226733,-1,-3.313789823738328
0.7421861159431324,-1,-0.9743478244141228
0.23485721326255357,-1,-0.625356703781362
0.6584519578674715,-1,-0.3663995101269898
0.3063877501497436,-1,-1.1235855447507317
0.49718699028614466,-1,-0.40692294266003887
0.5974110478832337,1,3.039491380043115
0.33602515686341433,-1,-1.0136719083673533
0.2772376515741479,1,2.438015515250431
0.3408894355028469,-1,-2.516787104807674
0.668700010853932,1,2.107807255350341
0.7831253655865718,1,5.320254562005991
0.5501824444829098,1,2.5654870041668008
0.940157226363756,-1,-0.8774378762780807
0.6420387198583217,1,2.602738097757642
0.6260080436489694,-1,-0.9278591460873055
0.06986495454372477,-1,-0.7652625046351743
0.541799826444177,-1,-2.9557649141206306
0.6081553625961262,1,5.4303191383214475
0.6140578765160384,-1,-2.5402079767593952
0.3143453732408591,-1,-0.24040569392557648
0.954450879621601,1,2.507731771255494
0.6734087141844545,-1,-0.9945328488295251
0.18628833153892682,-1,-0.1569613470856939
0.6906179921105583,1,2.0339586518540336
0.503785269650144,1,0.6666658774715288
0.7406477015987002,1,0.7820497863791185
0.7689779769521984,1,1.003708265910714
0.936520034710377,1,2.713099317805504
0.5757381609501793,1,4.011536951360322
0.8162530699412152,1,2.1403959011170826
0.49112263377716026,-1,-2.138192848177839
0.14454536157297762,-1,-4.857354534909135
0.14603842102586273,-1,-0.5497055585969437
0.3357443659810089,-1,-0.7124530075602373
0.15149777247180587,-1,-0.7286563507266245
0.49426297176304407,-1,-1.0301007277517849
0.8535001748263674,1,6.710252637740601
0.6055994245589795,-1,-0.6455188877142138
